post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
2930242007031193,159,17,,,,7,
2930209240367803,38,2,,,,,
2922173504504710,70,2,,,,,
2930170613704999,60,6,,2,,,
2897527196969341,278,28,,,,,
2926650764056984,126,12,,1,,,
2922169307838463,215,32,,1,,,
2924346367620757,61,12,,,,1,
2921772184544842,36,2,,,,,
2921794284542632,104,7,,,,1,
2921784794543581,34,3,,,,,
2921757687879625,70,9,,,,,
2921371471251580,239,24,,,,,
2920911284630932,222,23,,2,,,
2916996788355715,73,2,,,,,
2913985625323498,47,4,,,,,
2912669562121771,200,15,,,,,
2914634991925228,52,15,,6,,,
2911910075531053,220,19,,4,,,
2911906195531441,64,10,,1,,,
2906027522785975,81,8,,,,,
2905924942796233,54,1,,,,,
2897945946927466,750,152,,39,,,
2897429760312418,73,,,1,,,
2885781771477217,1&nbsp,mil,210,,62,,
2897532580302136,115,16,,,,,
2902198809835513,118,16,,,,,
2897366473652080,66,3,,,,,
2900335580021836,91,28,,2,,,
2897394076982653,157,21,,2,,,
2895986237123437,131,12,,,,,
2895984480456946,"3,2&nbsp;mil",376,,186,,,
2895776573811070,112,11,,,,,
2867792803276114,67,7,,,,,
2888005177921543,84,9,,,,1,
2891345327587528,"4,3&nbsp;mil",665,,39,,,
2890343411021053,215,55,,,,,
2890792357642825,151,13,,,,,
2888358814552846,82,12,,,,,
2886543498067711,97,7,,,,3,
2885793841476010,143,17,,,,7,
2885768404811887,154,13,,,,,
2867797273275667,129,14,,,,,
2884130334975694,49,9,,,,,
2883103895078338,101,5,,,,,
2880877875300940,165,16,,1,,,
2880785031976891,552,121,,,,1,
2879304048791656,151,21,,,,,
2879475858774475,36,3,,,,,
2878614882193906,109,16,,,,,
2872684812786913,49,3,,,1,,
2867789013276493,287,56,,,,,
2869387243116670,155,23,,,,,
2860063800715681,124,11,,,,,
2869294999792561,"3,5&nbsp;mil",195,,,,20,
2867904266598301,167,8,,,,,
2867892303266164,174,26,,,,,
2867082003347194,349,47,,,,,
2865893230132738,179,14,,,,1,
2860038894051505,"9,8&nbsp;mil",1&nbsp,mil,,,,485
2860026957386032,84,15,,,,2,
2856316704423724,102,10,,,,,
2856314214423973,835,28,,,,1,
2854114574643937,37,2,,,,,
2853910214664373,717,30,,,,14,
2851683454887049,692,43,,,,1,
2849940998394628,119,12,,,,,
2849729561749105,153,20,,,,,
2848896528499075,34,,,,,,
2846653388723389,42,5,,,,,
2843222955733099,77,8,,,,,
2840626199326108,40,2,,,,,
2838884909500237,,,,,,,
2838473016208093,87,6,,,,,
2836831583038903,935,154,,,,9,
2836281239760604,,,,,,,
2950474728341254,97,1,,2,,,
2834389726616422,40,4,,,,,
2834373633284698,56,5,,,,,
2830552683666793,81,6,,,,,
2830055333716528,196,17,,,,,
2828387647216630,19,,,,,,
2828204327234962,84,4,,,,,
2825881617467233,,,,,,,
2825307814191280,119,2,,,,,
2823872231001505,106,18,,,,,
2823415351047193,52,6,,,,1,
2821026597952735,111,19,,,,,
2818930934828968,40,3,,,,,
2818634981525230,"1,1&nbsp;mil",130,,,,198,
2817036725018389,"2,7&nbsp;mil",259,,,,16,
2806103196111742,77,4,,,,,
2812419785480083,1&nbsp,mil,95,,,,24
2806368742751854,80,5,,,,,
2800925059962889,76,15,,,,,
2801742919881103,31,1,,,,,
2801679156554146,214,20,,,,,
2801637949891600,179,18,,,,1,
2807670345955027,50,8,,,,,
2801302409925154,168,17,,,,,
2801556406566421,193,30,,,,,
2805465682842160,27,,,,,,
2801507709904624,99,12,,,,,
2803655839689811,45,10,,,,,
2801628979892497,137,15,,,,7,
2801445699910825,158,15,,,,,
2801381976583864,299,60,,,,,
2801066136615448,118,4,,,,,
2801002329955162,408,74,,,,,
2800902829965112,200,19,,,,,
2790460801009315,105,9,,,,1,
2790361344352594,94,7,,,,,
2790503551005040,53,7,,,,,
2790358574352871,93,10,,,1,,
2790291794359549,253,33,,,,,
2790286927693369,29,2,,,,,
2790257831029612,273,26,,,,,
2790244837697578,144,12,,,,,
2790205114368217,40,,,,,,
2782120331843362,102,14,,,,,
2782113685177360,123,5,,,,,
