post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
2919413668089670,157.0,12.0,,,,,
2918568741507496,,,,,,,
2918568011507569,,,,,,,
2909542552410115,27.0,,,,,,
2908221949208842,8.0,,,,,,
2906081356089568,47.0,3.0,,,,,
2901882939842743,,,,,,,
2901693829861654,,,,,,,
2901590226538681,,,,,,,
2899589033405467,,,,,,,
2899542673410103,,,,,,,
2899509876746716,,,,,,,
2899116873452683,,,,,,,
2899025386795165,,,,,,,
2898937570137280,,,,,,,
2895071073857263,,,,,,,
2895031357194568,,,,,,,
2894972890533748,,,,,,,
2890092371021800,,,,,,,
2890090981021939,,,,,,,
2890089534355417,,,,,,,
2887666311264406,,,,,,,
2887664017931302,,,,,,,
2887563604608010,,,,,,,
2885412514823119,,,,,,,
2885368511494186,,,,,,,
2885250821505955,,,,,,,
2881213798576324,,,,,,,
2881189055245465,,,,,,,
2881143485250022,,,,,,,
2879019635462407,,,,,,,
2878960972134940,,,,,,,
2878915538806150,,,,,,,
2874130959284608,,,,,,,
2874130499284654,,,,,,,
2874129869284717,,,,,,,
2874128149284889,,,,,,,
2874127599284944,,,,,,,
2874127309284973,,,,,,,
2872211319476572,,,,,,,
2872164122814625,,,,,,,
2872114519486252,,,,,,,
2870207846343586,,,,,,,
2869997583031279,,,,,,,
2869919459705758,,,,,,,
2869591879738516,,,,,,,
2867891199908584,,,,,,,
2867800366584334,,,,,,,
2867666399931064,,,,,,,
2867598633271174,,,,,,,
2865703633460674,,,,,,,
2865661806798190,2.0,,,,,,
2865609400136764,,,,,,,
2865541593476878,,,,,,,
2863571283673909,9.0,1.0,,,,,
2863520320345672,,,,,,,
2863479797016391,,,,,,,
2863406847023686,,,,,,,
2863382800359424,,,,,,,
2863098527054518,16.0,1.0,,,,,
2862775623753475,,,,,,,
2862754130422291,,,,,,,
2861418013889236,,,,,,,
2861384730559231,7.0,,,,,,
2861348913896146,,,,,,,
2861280180569686,,,,,,,
2861187727245598,,,,,,,
2859047104126327,,,,,,,
2858886164142421,,,,,,,
2856348654396172,,,,,,,
2856277387736632,,,,,,,
2856190224412015,,,,,,,
2853957517968619,,,,,,,
2853813367983034,,,,,,,
2853189774712060,,,,,,,
2851886884842349,,,,,,,
2851731074857930,,,,,,,
2851561401541564,,,,,,,
2849537035077334,,,,,,,
2849344748429896,,,,,,,
2849293148435056,,,,,,,
2847200505310987,,,,,,,
2847143201983384,,,,,,,
2847075738656797,,,,,,,
2844888958875475,,,,,,,
2844794288884942,,,,,,,
2844732775557760,,,,,,,
2842619235769114,,,,,,,
2842523409112030,,,,,,,
2842453345785703,,,,,,,
2840363252661379,,,,,,,
2840263259338045,,,,,,,
2840148256016212,,,,,,,
2838032412894463,,,,,,,
2837951686235869,,,,,,,
2837872359577135,,,,,,,
2835749186456119,,,,,,,
2835624933135211,,,,,,,
2835440696486968,,,,,,,
2834600606570977,,,,,,,
2833383266692711,,,,,,,
2833192243378480,,,,,,,
2830913113606393,,,,,,,
2830864850277886,,,,,,,
2830709943626710,,,,,,,
2829834127047625,,,,,,,
2828557737175264,,,,,,,
2828375533860151,,,,,,,
2826174377413600,,,,,,,
2826097737421264,,,,,,,
2825921440772227,,,,,,,
2823705034327201,43.0,1.0,,,,,
2823600117671026,,,,,,,
2823536137677424,52.0,6.0,,,,,
2821360714561633,,,,,,,
2821235087907529,,,,,,,
2820861004611604,,,,,,,
2818785221485849,,,,,,,
2815807021783669,,,,,,,
2814172021947169,,,,,,,
