post_id,brand_username,total_reactions,total_comments
1999120070283824763,offcorss,616,20
1999473376097143753,offcorss,146,0
1999653381245116460,offcorss,177,5
1999828601802693341,offcorss,303,0
2000227163794322999,offcorss,1216,2
2000377773759442684,offcorss,287,8
2000528858597644923,offcorss,197,2
2000944369101554398,offcorss,187,3
2001119916008100154,offcorss,128,0
2001284475456896747,offcorss,280,1
2001658166661477792,offcorss,120,0
2001771636895515711,offcorss,115,4
2001948129575836044,offcorss,127,0
2002325676653154685,offcorss,91,1
2002522648256829391,offcorss,126,0
2002733172345632787,offcorss,166,4
2003095629283064896,offcorss,317,17
2003254049730079952,offcorss,131,1
2003352220209098087,offcorss,114,0
2003800808413387949,offcorss,136,1
2003901939575660776,offcorss,225,25
2004082449291500509,offcorss,337,1
2004594676327117340,offcorss,381,9
2004698086850265558,offcorss,229,3
2004818155899107716,offcorss,287,2
2005241478294305726,offcorss,567,12
2005370133746211017,offcorss,198,1
2005541835145924688,offcorss,268,2
2006024901719007473,offcorss,151,4
2006160853363538034,offcorss,122,0
2006236358334854919,offcorss,448,21
2006695489115777218,offcorss,303,10
2006850075138888825,offcorss,1166,7
2006991291984742092,offcorss,272,2
2007430303619813577,offcorss,293,0
2007544562718685774,offcorss,332,0
2007686508602784197,offcorss,277,1
2008108589189658070,offcorss,1139,36
2008295567907517640,offcorss,177,0
2008440860258055029,offcorss,507,23
2008865930932648910,offcorss,606,13
2009017505470636010,offcorss,211,1
2009165550828083441,offcorss,220,0
2009560128887408341,offcorss,248,2
2009822504597433993,offcorss,387,0
2009921433322194312,offcorss,177,0
2010343299739453884,offcorss,302,0
2010479149002453936,offcorss,349,0
2010615053426204463,offcorss,658,4
2011037933684792376,offcorss,218,4
2011162624453897393,offcorss,255,4
2011339866570473307,offcorss,154,0
2011792517227278404,offcorss,743,8
2011883656205047780,offcorss,337,1
2012034753961504780,offcorss,767,5
2012487738901420497,offcorss,677,4
2012616315132187496,offcorss,391,5
2012760894636696083,offcorss,692,2
2013182096357315379,offcorss,1732,21
2013302888394258599,offcorss,146,0
2013453747134206646,offcorss,1358,9
2013938263510738531,offcorss,1510,8
2014057767366870519,offcorss,645,0
2014209719159162401,offcorss,267,4
2014631773599492560,offcorss,546,3
2014768300384272031,offcorss,190,0
2014903412228730685,offcorss,123,0
2015414731222804841,offcorss,305,0
2015524565632681994,offcorss,1340,6
2015676737708317033,offcorss,305,0
2016112137056641537,offcorss,461,2
2016262915591244380,offcorss,319,0
2016417204683016615,offcorss,866,15
2016845278469776945,offcorss,360,0
2016960344242381345,offcorss,472,2
2017134667880183408,offcorss,567,1
2017621772551068747,offcorss,1735,1
2017746252466079269,offcorss,617,1
2017864377454876793,offcorss,346,8
2018326261023032594,offcorss,211,0
2018422357468599629,offcorss,241,3
2018557563347531964,offcorss,350,4
2019002939990702602,offcorss,928,3
2019101229619292742,offcorss,242,4
2019288366981676041,offcorss,1726,10
2019743668136351656,offcorss,1073,4
2019888824961517098,offcorss,519,8
2020008113290903733,offcorss,378,3
2020430057075378718,offcorss,166,1
2020648921698481185,offcorss,519,3
2020746861178044931,offcorss,202,2
2021191687537096234,offcorss,620,6
2021336917460603141,offcorss,242,2
2021486707599213875,offcorss,211,0
2021909582787467414,offcorss,373,0
2022045413026018687,offcorss,289,3
2022197662268141016,offcorss,1029,10
2022619138975655576,offcorss,357,0
2022755251070598492,offcorss,221,0
2022919573667263004,offcorss,1169,6
2023330107730190876,offcorss,874,7
2023466945807691669,offcorss,240,0
2023662184233272275,offcorss,979,0
2024114242609560226,offcorss,330,34
2024228664985432080,offcorss,170,6
2024355655297387903,offcorss,248,10
2024990927342058263,offcorss,180,2
2025593995216553326,offcorss,172,6
2026379350170808442,offcorss,196,4
2027134377009107306,offcorss,349,13
2027768235385947527,offcorss,227,9
2028523108823940444,offcorss,311,13
2029203649109948402,offcorss,187,9
2029339400216754410,offcorss,214,12
2029442692628142964,offcorss,304,15
2029486855914699929,offcorss,697,72
2029513595072506522,offcorss,380,7
2029516197713641412,offcorss,197,0
2029882521654808141,offcorss,171,1
2030003237618022067,offcorss,290,1
2030154255553326820,offcorss,174,1
2030622394817572685,offcorss,152,0
2030756706742379634,offcorss,174,1
2030929467364247074,offcorss,372,13
2031379376930558524,offcorss,169,1
2031498158027970089,offcorss,222,3
2031618924236629736,offcorss,154,0
2032133242099670941,offcorss,200,2
2032253900515287128,offcorss,270,2
2032378958143356860,offcorss,172,5
2032861013788774431,offcorss,126,0
2032963759823552637,offcorss,117,0
2033071256697641718,offcorss,119,1
2033519597329479140,offcorss,177,1
2033627182710835112,offcorss,363,21
2033801099820730517,offcorss,297,2
2034288141327640740,offcorss,415,5
2034351900057788973,offcorss,320,3
2034506917734040842,offcorss,478,3
2034949606933964343,offcorss,358,2
2035046509388965074,offcorss,174,0
2035223331658818340,offcorss,308,7
2035669025431594604,offcorss,384,3
2035771242112823697,offcorss,171,1
2035915209131871716,offcorss,319,0
2036412003276081107,offcorss,221,0
2036553829865982807,offcorss,320,3
2036676203869249707,offcorss,246,0
2037145436470177790,offcorss,177,1
2037251028214911391,offcorss,202,0
2037386900502910133,offcorss,255,0
2037871131869792700,offcorss,202,1
2037990900185207173,offcorss,272,0
2038157285257051157,offcorss,330,5
2038564667575702852,offcorss,146,0
2038685440429981291,offcorss,164,0
2038821400084956103,offcorss,283,1
2039390316168782523,offcorss,237,0
