post_id,Me gusta,Me encanta,Me enfada,Me importa,Me asombra,Me divierte,Me entristece
3193639877358070,110.0,6.0,,1.0,,,
3159178207470904,127.0,3.0,,,,,
3193632517358806,377.0,28.0,,,,,
3190284914360233,92.0,1.0,,,,,
3179670272088364,294.0,73.0,,,2.0,,
3190255114363213,83.0,3.0,,,,1.0,
3179002122155179,146.0,17.0,,1.0,,,
3174453552610036,140.0,9.0,,,,,
3174451325943592,200.0,15.0,,2.0,,,
3174446335944091,243.0,32.0,,1.0,,,
3179006212154770,91.0,8.0,,1.0,,,
3179666895422035,338.0,22.0,,1.0,,,
3174444405944284,388.0,79.0,,2.0,,,
3174436835945041,157.0,5.0,,,,,
3159159610806097,100.0,3.0,,,,,
3174352699286788,246.0,27.0,,,,1.0,
3179832815405443,65.0,9.0,,,,,
3179663968755661,14.0,,,,,,
3174346545954070,139.0,14.0,,,,,
3174343459287712,228.0,15.0,,2.0,,,
3174338982621493,105.0,7.0,,2.0,,,
3176944802360911,70.0,2.0,,,,,
3174334895955235,117.0,12.0,,,,,
3171721592883232,78.0,7.0,,,,,
3171723902883001,36.0,4.0,,,,,
3171715082883883,145.0,8.0,,,,1.0,
3170668166321908,249.0,23.0,,1.0,,,
3159152370806821,67.0,1.0,,,,,
3167909003264491,117.0,9.0,,1.0,,,
3170189409703117,2.0,274.0,,22.0,,,
3167897749932283,166.0,15.0,,,,,
3167742193281172,278.0,33.0,,1.0,,,
3165377426850982,235.0,25.0,,1.0,,,
3165367240185334,137.0,10.0,,1.0,,,
3165313020190756,187.0,19.0,,3.0,,,
3164737853581606,73.0,11.0,,,,1.0,
3164940273561364,54.0,8.0,,,,,
3157138281008230,220.0,12.0,,1.0,,,
3142146955840696,183.0,17.0,,,,,
3156686967720028,115.0,5.0,,,,,
3156680287720696,91.0,2.0,,2.0,,,
3156671687721556,256.0,16.0,,1.0,,,
3156666754388716,46.0,2.0,,,,,
3159139407474784,109.0,2.0,,1.0,,,
3156674994387892,129.0,8.0,,,,,
3156869794368412,174.0,21.0,,3.0,,,
3157132084342183,27.0,4.0,,,,,
3156655547723170,240.0,21.0,,1.0,,,
3155871477801577,36.0,1.0,,,,,
3142143835841008,122.0,8.0,,1.0,,,
3139037526151639,225.0,13.0,,2.0,,,
3148824081839650,32.0,,,,,,
3148819875173404,1.0,55.0,,,,27.0,
3148708018517923,83.0,9.0,,,,,
3151318594923532,2.0,1.0,,,,,
3145718642150194,59.0,1.0,,,,,
3142140825841309,73.0,5.0,,,,,
3148625481859510,66.0,10.0,,,,,
3138994202822638,113.0,3.0,,,,,
3147691078619617,57.0,3.0,,,,,
3145676288821096,123.0,7.0,,,,,
3139040816151310,15.0,7.0,,,,,
3145503872171671,128.0,1.0,,,,,
3139032539485471,207.0,14.0,,,,,
3145495828839142,94.0,6.0,,,,,
3139027529485972,38.0,10.0,,,,,
3139003592821699,158.0,5.0,,,,,
3142678319120893,109.0,2.0,,,,,
3141706499218075,195.0,16.0,,3.0,,,
3138986589490066,28.0,1.0,,,,,
3138982229490502,222.0,16.0,,,,1.0,
3138473999541325,154.0,10.0,,1.0,,,
3138460929542632,123.0,3.0,,,,1.0,
3138394772882581,43.0,1.0,,,,,
3135677296487662,61.0,1.0,,,,,
3135624969826228,102.0,3.0,,,,4.0,
3124635384258520,116.0,4.0,,,3.0,,
3124623497593042,1.0,131.0,,,,9.0,
3124560897599302,418.0,17.0,,3.0,,,
3124603917595000,131.0,8.0,,,,,
3128390367216355,55.0,3.0,,,,,
3128384873883571,85.0,2.0,,,,,
3124533084268750,62.0,4.0,,,1.0,,
3124517570936968,115.0,7.0,,,,1.0,
3121826751206050,53.0,5.0,,,,,
3127958257259566,144.0,8.0,,,,,
3121663574555701,27.0,,,,,,
3108448825877176,372.0,38.0,,,,2.0,
3108482062540519,350.0,32.0,,,,4.0,
3108455735876485,151.0,15.0,,1.0,,,
3108471932541532,59.0,1.0,,,,1.0,
3108463539209038,127.0,6.0,,,,,
3108443069211085,84.0,,,,,,
3108437065878352,1.0,59.0,,7.0,,,
3097634420291950,324.0,21.0,,,,1.0,
3108430965878962,337.0,33.0,,,,4.0,
3108421782546547,423.0,16.0,,,,6.0,
3116212928434099,290.0,26.0,,2.0,,,
3126870727368319,120.0,9.0,,,,,
3108396975882361,126.0,12.0,,,,2.0,
3087501951305197,155.0,9.0,,1.0,,,
3108379625884096,109.0,2.0,,,,,
3097630100292382,122.0,9.0,,1.0,,,
3108340905887968,163.0,9.0,,,,,
3108366349218757,305.0,15.0,,1.0,,,
3108354112553314,271.0,25.0,,,,,
3107777209277671,466.0,55.0,,,,1.0,
3107499509305441,193.0,19.0,,,,1.0,
3085024318219627,184.0,7.0,,,,,
3107784252610300,16.0,2.0,,,,,
3087497221305670,138.0,5.0,,,,,
3087491807972878,61.0,2.0,,,,,
3097624460292946,162.0,14.0,,,,,
3087487377973321,177.0,18.0,,1.0,,,
3087465627975496,16.0,2.0,,,,,
3104337062955019,98.0,8.0,,,,,
3087454907976568,117.0,8.0,,,,1.0,
3087389674649758,33.0,2.0,,,,,
3087345121320880,6.0,801.0,,,,53.0,
3097616466960412,228.0,26.0,,1.0,,,
3087329147989144,132.0,15.0,,,,,
3087281941327198,128.0,5.0,,,,,
3087318454656880,167.0,10.0,,1.0,,,
3087302197991839,44.0,1.0,,,,,
3087254604663265,23.0,,,,,,
3087238501331542,248.0,28.0,,,,,
3087222364666489,26.0,2.0,,,,,
3087211104667615,18.0,2.0,,,,,
3085123074876418,51.0,,,,,,
3085118028210256,310.0,22.0,,1.0,,,
3084989218223137,66.0,2.0,,,,,
3084982261557166,26.0,2.0,,,,,
3084352978286761,37.0,,,,,,
3084243361631056,349.0,42.0,,,,,
3082262308495828,32.0,,,,,,
3076699042385488,172.0,14.0,,1.0,,,
3064791336909592,225.0,33.0,,2.0,,,
3064459473609445,119.0,5.0,,,,,
3075832252472167,17.0,1.0,,,,,
3064465486942177,280.0,32.0,,,,,
3064453110276748,89.0,5.0,,1.0,,,
3064597126929013,675.0,65.0,,7.0,,,
3068559293199463,115.0,11.0,,,,,
3064480623607330,258.0,26.0,,,,9.0,
3068540119868047,92.0,5.0,,,1.0,,
3067562363299156,184.0,9.0,,2.0,,,
3065989023456490,82.0,8.0,,1.0,,,
3064440913611301,58.0,4.0,,,,,
3064423206946405,43.0,1.0,,,,,
3059465244108868,66.0,16.0,,,,,
3042964789092247,290.0,27.0,,,,,
3049062355149157,361.0,37.0,,2.0,,,
3042427042479355,174.0,7.0,,,,,
3049055445149848,49.0,4.0,,,,,
3049046581817401,26.0,2.0,,,,,
3042947402427319,56.0,5.0,,,,1.0,
3042424889146237,328.0,21.0,,,,,
3042941289094597,303.0,34.0,,,,,
3049026318486094,54.0,,,,,,
3048097398578986,157.0,15.0,,,,,
3042905435764849,45.0,,,,2.0,,
3042894719099254,30.0,3.0,,,,,
3042887965766596,286.0,21.0,,,,,
3042870532435006,47.0,5.0,,,,,
3042414212480638,167.0,21.0,,3.0,,,
3039711486084244,617.0,91.0,,,,,
3027516957303697,48.0,5.0,,,,,
3026888784033181,133.0,11.0,,,,,
3027522457303147,134.0,13.0,,,,,
3026922104029849,23.0,1.0,,,,,
3026895114032548,63.0,5.0,,1.0,,,
3026847530703973,39.0,5.0,,,,1.0,
3026841900704536,39.0,,,,,,
3026819307373462,21.0,4.0,,2.0,,,
3027490067306386,127.0,17.0,,,,,
3025943027461090,23.0,2.0,,,,,
3025923807463012,135.0,11.0,,1.0,,,
3025730894148970,77.0,11.0,,,,,
3024102210978505,50.0,2.0,,,,,
3021318137923579,54.0,5.0,,,,,
3020579327997460,91.0,7.0,,,,,
3000681963320530,190.0,19.0,,,,2.0,
3000620353326691,40.0,4.0,,1.0,,,
3000607056661354,49.0,3.0,,,,,
3000595533329173,4.0,1.0,,,,266.0,
3005790499476343,55.0,,,,,,
3000564666665593,303.0,37.0,,5.0,,,
3005317166190343,181.0,27.0,,,,3.0,
3000530766668983,56.0,2.0,,,,,
3000498460005547,228.0,30.0,,,,,
3000470196675040,42.0,1.0,,,,,
3000434140011979,105.0,7.0,,,,,
2987169901338403,82.0,6.0,,,,,
3000128646709195,204.0,24.0,,5.0,,,
2990188511036542,356.0,37.0,,1.0,,,
2990087497713310,143.0,8.0,,1.0,,,
2990076747714385,499.0,61.0,,3.0,,,
2990064521048941,246.0,27.0,,1.0,,,
2990027161052677,478.0,59.0,,,,5.0,
2989954307726629,920.0,59.0,,,,11.0,
2989771457744914,27.0,1.0,,,,,
2989931284395598,91.0,8.0,,,,,
2989523471103046,63.0,5.0,,1.0,,,
2989326297789430,71.0,6.0,,1.0,,,
2989294854459241,177.0,22.0,,2.0,,,
2986794388042621,389.0,57.0,,3.0,,,
2984618711593522,130.0,16.0,,,,,
2984726868249373,76.0,10.0,,2.0,,,
2984279181627475,340.0,41.0,,3.0,,,
2983860648335995,183.0,10.0,,3.0,,,
2981933745195352,33.0,2.0,,,,,
2981585208563539,191.0,27.0,,,,2.0,
2981083431947050,55.0,14.0,,,,,
2974485012606892,225.0,28.0,,2.0,,,
2974387979283262,149.0,10.0,,,,,
2974415039280556,20.0,2.0,,,,,
2974391785949548,186.0,17.0,,,5.0,,
2974086989313361,43.0,8.0,,,,,
2974355465953180,198.0,17.0,,6.0,,,
2974036702651723,29.0,,,,,,
2974009032654490,60.0,6.0,,2.0,,,
2971670679554992,55.0,8.0,,,,,
2971825502872843,36.0,1.0,,,,,
2957969124258481,61.0,6.0,,,,,
2969483109773749,59.0,1.0,,,,,
2955984794456914,34.0,,,,,,
2955923427796384,198.0,12.0,,1.0,,,
